OBJECTID,id,grid_4ha_id,lon,lat,lp_ext_2012,lp_ext_2015,lp_ext_2018,lp_ext_2022,du_cnt_2012,du_cnt_2015,du_cnt_2018,du_cnt_2022,clq_ext_sqm_2012,clq_ext_sqm_2015,clq_ext_sqm_2018,clq_ext_sqm_2022,mlt_ext_sqm_2012,mlt_ext_sqm_2015,mlt_ext_sqm_2018,mlt_ext_sqm_2022,sq_ext_sqm_2012,sq_ext_sqm_2015,sq_ext_sqm_2018,sq_ext_sqm_2022,du_cnt_w_clq_mlt_2012,du_cnt_w_clq_mlt_2015,du_cnt_w_clq_mlt_2018,du_cnt_w_clq_mlt_2022,dens_grs_duha_2012,dens_grs_duha_2015,dens_grs_duha_2018,dens_grs_duha_2022,d_dens_grs_duha_12_15,d_dens_grs_duha_12_18,d_dens_grs_duha_12_22,d_dens_grs_duha_15_18,d_dens_grs_duha_15_22,d_dens_grs_duha_18_22,DISTRICTNA,Shape_Length,Shape_Area
144,17130,W40A_12_00144,18.47504386,-34.34720336,0,0,3737398.016,3737398.016,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,Southern,799.9999582,39999.99582
1060,16766,W59C_10_01060,18.40151159,-34.29458096,58381.17735,58381.17735,58381.17735,58381.17735,4,4,4,4,0,0,0,0,0,0,0,0,16,16,0,0,4,4,4,4,1,1,1,1,0,0,0,0,0,0,Southern,799.9999883,39999.99883
1300,17157,W59D_05_01300,18.45587673,-34.28581973,3723191.862,3723191.862,3723191.862,3723191.862,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
1954,8296,W49A_16_01954,18.46470213,-34.26422317,535.754642,535.754642,535.754642,535.754642,10,9,9,10,0,0,0,25,0,0,0,0,0,0,0,0,10,9,9,11.25,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
1955,8295,W49A_16_01955,18.46687364,-34.26423263,831.2259095,831.2259095,831.2259095,831.2259095,14,15,15,14,6,6,6,6,0,0,0,0,0,0,0,0,14.3,15.3,15.3,14.3,3,3,3,3,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2020,15104,W49A_11_02020,18.46688502,-34.26242973,642.3643409,642.3643409,642.3643409,642.3643409,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
2152,16361,W49A_12_02152,18.47125052,-34.25884272,288230.0609,288230.0609,288230.0609,288230.0609,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2210,16359,W59B_15_02210,18.45606252,-34.25697331,190235.4139,190235.4139,190235.4139,190235.4139,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2403,16357,W59B_09_02403,18.44089908,-34.25149622,62844.25214,62844.25214,62844.25214,62844.25214,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,1,1,1,1,1,1,0,0,0,Southern,800.0000185,40000.00185
2405,16358,W59B_09_02405,18.44524143,-34.25151594,107508.8057,107508.8057,107508.8057,107508.8057,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2408,17576,W59B_10_02408,18.45175497,-34.25154525,0,0,417907.6346,417907.6346,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,1,0,1,1,1,1,0,Southern,800.0000185,40000.00185
2544,16353,W59B_09_02544,18.44309401,-34.24790029,17123.71857,17123.71857,17123.71857,17126.50528,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
2558,15710,W49A_07_02558,18.47348928,-34.2480346,1224.112627,1224.112627,1224.112627,1224.112627,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2613,16354,W59B_09_02613,18.44093485,-34.24608751,111995.8053,111995.8053,111995.8053,111995.8053,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2628,15106,W49A_07_02628,18.47350051,-34.24623168,0,1220.129418,1220.129418,1220.129418,0,1,1,1,0,18,18,18,0,0,0,0,0,0,0,0,0,1.9,1.9,1.9,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2773,8301,W49A_02_02773,18.47352296,-34.24262586,2446.220779,2446.220779,2446.220779,2446.220779,6,6,6,6,0,0,0,0,0,0,0,0,34,22,22,22,6,6,6,6,1,1,1,1,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2848,8298,W49A_02_02848,18.47353418,-34.24082294,2006.502552,2006.502552,2006.502552,2006.502552,5,5,5,4,42,42,42,11,0,0,0,0,0,0,0,0,7.1,7.1,7.1,4.55,1,1,1,1,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2849,8299,W49A_02_02849,18.4757051,-34.24083224,961.9286115,961.9286115,961.9286115,961.9286115,2,4,5,5,0,0,0,0,0,0,0,0,0,13,13,13,2,4,5,5,0,1,1,1,1,1,1,0,0,0,Southern,799.9999883,39999.99883
2896,17158,W59B_02_02896,18.4149324,-34.23875435,0,0,309131.0415,309131.0415,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2903,17490,W59B_03_02903,18.43012829,-34.23882592,2403335.104,2403335.104,2403335.104,2403335.104,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,1,1,1,1,0,0,0,0,0,0,Southern,800.0000185,40000.00185
2924,8300,W49A_02_02924,18.47571627,-34.23902933,2579.098635,2579.098635,2579.098635,2579.098635,9,9,9,11,0,15,15,15,0,0,0,0,0,0,0,0,9,9.75,9.75,11.75,2,2,2,2,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2973,16360,W59B_02_02973,18.41928646,-34.23697209,8562.385631,8562.385631,8562.385631,8562.385631,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
2998,15105,W49A_02_02998,18.47355663,-34.23721711,14391.06014,14391.06014,14391.06014,14391.06014,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
3073,8297,W48C_22_03073,18.47356785,-34.23541419,3014.920764,3014.920764,3014.920764,3014.920764,1,1,1,1,64,64,64,64,0,0,0,0,0,0,0,0,4.2,4.2,4.2,4.2,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
3231,17174,W48C_22_03231,18.46924893,-34.23178964,0,717986.0377,717986.0377,717986.0377,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,0,4,4,4,4,4,4,0,0,0,Southern,800.0000185,40000.00185
3699,17489,W58D_16_03699,18.41071632,-34.22070456,0,0,0,296548.1504,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
3722,17155,W48C_16_03722,18.46063519,-34.22093426,0,253778.6893,253778.6893,253778.6893,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,1,1,1,1,1,1,0,0,0,Southern,799.9999883,39999.99883
3795,17125,W58D_18_03795,18.43460254,-34.21901404,0,0,6620460.59,6620460.59,0,0,3,3,0,0,5950,5950,0,0,0,0,0,0,0,0,0,0,300.5,300.5,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
3897,17267,W48C_11_03897,18.46065817,-34.21732842,97487.75716,97487.75716,97487.75716,97487.75716,1,1,1,4,79,880,880,674,0,0,0,0,0,0,0,0,4.95,45,45,37.7,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
3974,16762,W58D_11_03974,18.41075398,-34.21529585,0,460127.8133,460127.8133,460127.8133,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
3997,8436,W48C_11_03997,18.46066965,-34.2155255,1260.753373,1260.753373,1260.753373,1260.753373,7,8,8,8,0,0,0,0,0,0,0,0,67,67,67,67,7,8,8,8,1,2,2,2,1,1,1,0,0,0,Southern,799.9999883,39999.99883
3998,7888,W48C_11_03998,18.46283991,-34.21553503,2412.033746,2412.033746,2412.033746,2412.033746,11,10,12,14,21,0,29,29,0,0,0,0,22,22,15,15,12.05,10,13.45,15.45,2,2,3,3,0,1,1,1,1,0,Southern,800.0000185,40000.00185
4097,7889,W48C_11_04097,18.46068114,-34.21372259,808.0480485,808.0480485,808.0480485,808.0480485,21,23,24,25,11,28,62,62,0,0,0,0,0,66,84,108,21.55,24.4,27.1,28.1,5,5,6,6,0,1,1,1,1,0,Southern,799.9999883,39999.99883
4098,7890,W48C_11_04098,18.46285135,-34.21373211,1670.821406,1670.821406,1670.821406,1670.821406,10,11,11,11,0,12,12,12,0,0,0,0,30,30,30,30,10,11.6,11.6,11.6,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4174,16356,W58D_11_04174,18.41077908,-34.21169005,805633.962,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Southern,799.9999582,39999.99582
4197,7891,W48C_11_04197,18.46069263,-34.21191967,937.321998,937.321998,937.321998,937.321998,50,52,56,60,0,0,0,29,0,0,0,0,31,116,73,141,50,52,56,61.45,12,13,14,15,1,2,3,1,2,1,Southern,799.9999582,39999.99582
4198,7894,W48C_11_04198,18.46286279,-34.21192919,844.9970461,844.9970461,844.9970461,844.9970461,6,6,6,6,0,0,0,23,0,0,0,0,0,51,0,0,6,6,6,7.15,1,1,1,1,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4295,7896,W58D_15_04295,18.45636387,-34.21009759,1891.406539,1891.406539,1891.406539,1891.406539,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4296,7893,W48C_11_04296,18.45853399,-34.21010718,989.8939157,989.8939157,989.8939157,989.8939157,29,29,27,30,0,0,0,0,0,0,0,0,16,16,0,25,29,29,27,30,7,7,6,7,0,-1,0,-1,0,1,Southern,800.0000185,40000.00185
4297,7892,W48C_11_04297,18.46070411,-34.21011675,2535.503742,2535.503742,2535.503742,2535.503742,46,44,44,45,27,14,14,14,0,0,0,0,112,170,170,29,47.35,44.7,44.7,45.7,11,11,11,11,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4394,7901,W58D_10_04394,18.45420538,-34.20828503,855.2590632,855.2590632,855.2590632,855.2590632,6,6,6,6,0,0,0,0,0,0,0,0,0,47,47,47,6,6,6,6,1,1,1,1,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4395,7898,W58D_10_04395,18.45637545,-34.20829467,1126.467784,1126.467784,1126.467784,1126.467784,25,26,26,27,0,79,79,91,0,0,0,0,21,21,21,21,25,29.95,29.95,31.55,6,6,6,6,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4396,7897,W48C_06_04396,18.45854552,-34.20830426,2287.031593,2287.031593,2287.031593,2287.031593,36,37,38,39,0,0,72,72,0,0,0,0,0,0,41,41,36,37,41.6,42.6,9,9,9,9,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4397,7895,W48C_06_04397,18.4607156,-34.20831382,594.8726701,594.9329139,594.9329139,594.9329139,16,18,18,18,51,51,72,72,0,0,0,0,75,75,54,54,18.55,20.55,21.6,21.6,4,4,4,4,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4498,7903,W58D_10_04498,18.45204698,-34.20647244,2222.889756,2222.889756,2222.889756,2222.889756,5,6,6,6,0,0,0,16,0,0,0,0,0,0,0,0,5,6,6,6.8,1,1,1,1,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4499,7902,W58D_10_04499,18.454217,-34.20648211,1425.147705,1425.147705,1425.147705,1425.147705,31,32,33,32,12,12,12,12,0,0,0,0,48,177,147,200,31.6,32.6,33.6,32.6,7,8,8,8,1,1,1,0,0,0,Southern,799.9999582,39999.99582
4500,7900,W58D_10_04500,18.45638703,-34.20649175,2778.016384,2778.016384,2778.016384,2778.016384,32,33,33,33,18,18,18,18,0,0,0,0,66,122,122,122,32.9,33.9,33.9,33.9,8,8,8,8,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4501,7899,W48C_06_04501,18.45855705,-34.20650134,1893.996917,1893.996917,1893.996917,1893.996917,8,8,8,8,0,0,16,16,0,0,0,0,0,0,0,0,8,8,8.8,8.8,2,2,2,2,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4580,17551,W58C_10_04580,18.40214944,-34.20443643,0,0,308217.2368,308217.2368,0,0,7,7,0,0,146,146,0,0,0,0,0,0,0,0,0,0,14.3,14.3,0,0,1,1,0,1,1,1,1,0,Southern,800.0000185,40000.00185
4603,7906,W58D_10_04603,18.45205864,-34.20466952,72058.32388,72058.32388,72058.32388,72058.32388,7,8,8,8,69,69,80,80,0,0,0,0,42,56,56,56,10.45,11.45,12,12,1,2,2,2,1,1,1,0,0,0,Southern,800.0000185,40000.00185
4604,7904,W58D_10_04604,18.45422862,-34.20467919,29018.13596,29018.13596,29018.13596,29018.13596,36,38,35,36,224,224,241,73,0,0,0,0,36,87,96,57,47.2,49.2,47.05,39.65,9,9,8,9,0,-1,0,-1,0,1,Southern,799.9999883,39999.99883
4605,7905,W58D_10_04605,18.4563986,-34.20468883,3243.315805,3243.315805,3243.315805,3243.315805,17,17,17,17,0,0,61,61,0,0,0,0,21,21,36,36,17,17,20.05,20.05,4,4,4,4,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4674,7733,W58C_08_04674,18.37829327,-34.20251488,1197.840111,1197.840111,1197.840111,1197.840111,20,23,24,24,0,20,20,20,0,0,0,0,8,8,8,19,20,24,25,25,5,5,6,6,0,1,1,1,1,0,Southern,800.0000185,40000.00185
4675,7734,W58C_08_04675,18.38046316,-34.20252585,992.4383946,992.4383946,992.4383946,992.4383946,23,27,30,32,0,0,0,14,0,0,0,0,0,0,0,0,23,27,30,32.7,5,6,7,8,1,2,3,1,2,1,Southern,800.0000185,40000.00185
4676,7735,W58C_09_04676,18.38263306,-34.20253679,1470.655772,1470.655772,1470.655772,1470.655772,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4686,16039,W58D_06_04686,18.40433208,-34.20264408,11324.80641,11324.80641,11324.80641,50831.93961,3,3,3,5,6,6,6,40,0,0,0,0,0,0,0,0,3.3,3.3,3.3,7,0,0,0,1,0,0,1,0,1,1,Southern,799.9999883,39999.99883
4688,17178,W58D_06_04688,18.4086719,-34.20266508,588206.8409,721061.5004,721061.5004,721061.5004,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4707,17124,W58D_10_04707,18.44990038,-34.20285689,135345.9819,135345.9819,135345.9819,135345.9819,0,0,0,0,1553,1553,1553,1553,0,0,0,0,0,0,0,0,77.65,77.65,77.65,77.65,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4708,16840,W58D_10_04708,18.45207031,-34.2028666,5643.437958,5643.437958,5643.437958,5643.437958,0,0,0,0,8625,8625,8625,5814,0,0,0,0,0,0,0,0,431.25,431.25,431.25,290.7,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4709,7907,W58D_10_04709,18.45424024,-34.20287627,762.0557542,762.0557542,762.0557542,762.0557542,15,15,15,15,0,0,0,0,0,0,0,0,20,0,0,0,15,15,15,15,3,3,3,3,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4710,16839,W58D_10_04710,18.45641017,-34.2028859,759.5755256,759.5755256,759.5755256,759.5755256,9,10,10,11,0,0,0,0,0,0,0,0,40,0,0,0,9,10,10,11,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4777,7743,W58C_08_04777,18.37396681,-34.20068991,992.9143769,992.9143769,992.9143769,992.9143769,9,8,9,9,0,0,19,0,0,0,0,0,0,0,0,0,9,8,9.95,9,2,2,2,2,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4778,7738,W58C_08_04778,18.37613666,-34.20070096,993.5120944,993.5120944,993.5120944,993.5120944,33,37,40,38,6,27,6,23,0,0,0,0,49,70,74,74,33.3,38.35,40.3,39.15,8,9,10,9,1,2,1,1,0,-1,Southern,799.9999582,39999.99582
4779,7736,W58C_08_04779,18.37830651,-34.20071198,800.3290236,800.3290236,800.3290236,800.3290236,41,42,45,52,17,17,26,104,0,0,0,0,14,14,14,14,41.85,42.85,46.3,57.2,10,10,11,13,0,1,3,1,3,2,Southern,799.9999883,39999.99883
4780,7737,W58C_08_04780,18.38047635,-34.20072296,937.0701107,937.0701107,1432.869065,1432.869065,46,48,49,51,0,0,0,11,0,0,0,0,55,0,23,22,46,48,49,51.55,11,12,12,12,1,1,1,0,0,0,Southern,799.9999883,39999.99883
4781,7741,W58C_09_04781,18.3826462,-34.2007339,732.8229024,732.8229024,732.8229024,732.8229024,10,9,9,10,0,0,0,67,0,0,0,0,18,18,18,18,10,9,9,13.35,2,2,2,2,0,0,0,0,0,0,Southern,799.9999582,39999.99582
4791,16600,W58D_06_04791,18.40434476,-34.20084117,0,0,0,27501.4091,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Southern,799.9999582,39999.99582
4811,8744,W58D_10_04811,18.44774221,-34.20104422,525.8750212,525.8750212,525.8750212,525.8750212,2,2,2,2,0,0,0,0,0,0,0,0,28,28,28,28,2,2,2,2,0,0,0,0,0,0,0,0,0,0,Southern,799.9999582,39999.99582
4813,16964,W58D_10_04813,18.45208197,-34.20106368,13416.89239,13416.89239,13416.89239,13416.89239,68,68,68,68,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,17,17,17,17,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4815,7915,W58D_10_04815,18.45642175,-34.20108298,719.1649163,719.1649163,719.1649163,719.1649163,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,799.9999883,39999.99883
4882,7744,W58C_03_04882,18.37398014,-34.19888701,501.8132831,501.8132831,501.8132831,501.8132831,49,51,52,55,25,47,47,66,0,0,0,0,56,56,76,76,50.25,53.35,54.35,58.3,12,12,13,13,0,1,1,1,1,0,Southern,800.0000185,40000.00185
4883,7739,W58C_03_04883,18.37614994,-34.19889807,992.9468613,992.9468613,992.9468613,992.9468613,34,39,39,40,21,21,21,29,0,0,0,0,0,0,0,8,35.05,40.05,40.05,41.45,8,9,9,10,1,1,2,0,1,1,Southern,799.9999883,39999.99883
4884,7740,W58C_03_04884,18.37831974,-34.19890908,1426.153684,1426.153684,1426.153684,1426.153684,39,38,40,44,0,0,63,63,0,0,0,0,0,0,0,0,39,38,43.15,47.15,9,9,10,11,0,1,2,1,2,1,Southern,800.0000185,40000.00185
4885,7742,W58C_03_04885,18.38048954,-34.19892006,991.0146546,991.0146546,991.0146546,991.0146546,9,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,11,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4914,15762,W58D_04_04914,18.44341429,-34.19922168,90829.66458,90829.66458,90829.66458,90829.66458,3,3,3,2,380,380,380,0,114,114,114,102,0,0,0,0,25.93103448,25.93103448,25.93103448,5.517241379,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4915,8743,W58D_04_04915,18.44558413,-34.19923151,473.4717149,473.4717149,473.4717149,473.4717149,8,8,9,9,0,0,34,34,0,0,0,0,0,0,0,0,8,8,10.7,10.7,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4916,7908,W58D_05_04916,18.44775396,-34.1992413,1080.362018,1080.362018,1080.362018,1080.362018,39,41,43,45,0,0,40,62,0,0,0,0,80,80,81,81,39,41,45,48.1,9,10,10,11,1,1,2,0,1,1,Southern,799.9999883,39999.99883
4917,7909,W58D_05_04917,18.4499238,-34.19925104,561.6514293,561.6514293,561.6514293,561.6514293,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4918,7917,W58D_05_04918,18.45209364,-34.19926076,993.9683529,993.9683529,993.9683529,993.9683529,27,24,23,26,0,0,0,0,0,259,259,259,8,8,8,8,27,32.93103448,31.93103448,34.93103448,6,6,5,6,0,-1,0,-1,0,1,Southern,800.0000185,40000.00185
4919,7916,W58D_05_04919,18.45426348,-34.19927043,1486.335785,1486.335785,1486.335785,1486.335785,15,16,16,18,15,15,15,15,0,0,0,0,180,185,171,231,15.75,16.75,16.75,18.75,3,4,4,4,1,1,1,0,0,0,Southern,799.9999883,39999.99883
4991,7749,W58C_03_04991,18.37182371,-34.19707303,743.2695619,743.2695619,743.2695619,743.2695619,5,5,5,5,0,0,0,0,0,0,0,0,0,0,19,19,5,5,5,5,1,1,1,1,0,0,0,0,0,0,Southern,800.0000185,40000.00185
4992,7748,W58C_03_04992,18.37399346,-34.19708412,991.2947487,991.2947487,991.2947487,991.2947487,48,47,48,48,0,0,0,0,0,0,0,0,0,0,22,65,48,47,48,48,12,11,12,12,-1,0,0,1,1,0,Southern,800.0000185,40000.00185
4993,7746,W58C_03_04993,18.37616322,-34.19709517,1487.500734,1487.500734,1487.500734,1487.500734,36,38,38,40,0,21,21,21,0,0,0,0,9,9,23,25,36,39.05,39.05,41.05,9,9,9,10,0,0,1,0,1,1,Southern,799.9999883,39999.99883
4994,7745,W58C_03_04994,18.37833297,-34.19710618,987.6235146,987.6235146,987.7779016,987.6235146,15,15,16,19,0,0,0,12,0,0,0,0,38,38,38,38,15,15,16,19.6,3,3,4,4,0,1,1,1,1,0,Southern,800.0000185,40000.00185
4998,17491,W58C_04_04998,18.387012,-34.19714986,0,0,0,2141333.83,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5005,17377,W58C_05_05005,18.40220035,-34.19722481,0,0,0,306758.3813,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5018,8331,W58D_03_05018,18.43040742,-34.19735901,793.9512962,793.9512962,793.9512962,793.9512962,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5022,8565,W58D_04_05022,18.43908656,-34.197399,3782.878026,3782.878026,3782.878026,3782.878026,14,15,15,15,0,0,0,0,2481,2481,2481,2481,0,0,0,0,99.55172414,100.5517241,100.5517241,100.5517241,3,3,3,3,0,0,0,0,0,0,Southern,799.9999883,39999.99883
5023,8566,W58D_04_05023,18.44125635,-34.1974089,0,374.9941892,374.9941892,374.9941892,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5024,7912,W58D_04_05024,18.44342614,-34.19741877,691.3654164,691.3654164,691.3654164,691.3654164,21,23,23,23,0,0,0,45,0,0,0,0,29,29,29,29,21,23,23,25.25,5,5,5,5,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5025,7911,W58D_04_05025,18.44559593,-34.19742859,752.0926215,785.6652798,785.6652798,785.6652798,7,8,8,8,0,27,27,27,0,0,0,0,0,23,23,23,7,9.35,9.35,9.35,1,2,2,2,1,1,1,0,0,0,Southern,800.0000185,40000.00185
5026,7910,W58D_05_05026,18.44776572,-34.19743838,1576.024782,1576.024782,1576.024782,1576.024782,38,48,49,49,0,51,51,51,1030,1030,1030,1030,68,68,68,65,73.51724138,86.06724138,87.06724138,87.06724138,9,12,12,12,3,3,3,0,0,0,Southern,799.9999883,39999.99883
5027,7918,W58D_05_05027,18.44993551,-34.19744812,17005.85737,17005.85737,17005.85737,17005.85737,11,10,10,11,6069,6069,1080,1101,0,0,0,0,69,69,69,58,314.45,313.45,64,66.05,2,2,2,2,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5028,7919,W58D_05_05028,18.4521053,-34.19745783,4718.73374,4718.73374,4718.73374,4718.73374,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5102,7750,W58C_03_05102,18.37400679,-34.19528122,1155.410423,1214.326826,1482.074586,1482.074586,19,21,22,23,31,31,31,31,0,0,0,0,0,0,0,31,20.55,22.55,23.55,24.55,4,5,5,5,1,1,1,0,0,0,Southern,800.0000185,40000.00185
5103,7747,W58C_03_05103,18.3761765,-34.19529227,988.7099314,988.7099314,988.7099314,988.7099314,31,33,34,34,0,0,0,24,0,0,0,0,0,0,0,78,31,33,34,35.2,7,8,8,8,1,1,1,0,0,0,Southern,799.9999883,39999.99883
5127,7932,W58D_03_05127,18.42824981,-34.195546,1126.803335,1126.803335,36389.3086,36389.3086,19,18,22,23,0,43,3571,3571,0,0,0,0,0,0,0,0,19,20.15,200.55,201.55,4,4,5,5,0,1,1,1,1,0,Southern,800.0000185,40000.00185
5128,7931,W58D_03_05128,18.43041955,-34.1955561,1222.353813,1222.353813,1222.353813,1222.353813,29,28,29,29,45,45,45,45,0,0,0,0,58,54,54,54,31.25,30.25,31.25,31.25,7,7,7,7,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5129,7927,W58D_03_05129,18.43258928,-34.19556615,970.1694765,1294.03912,1294.03912,1294.03912,37,39,37,38,23,108,108,108,0,0,0,0,38,48,48,82,38.15,44.4,42.4,43.4,9,9,9,9,0,0,0,0,0,0,Southern,799.9999883,39999.99883
5130,7926,W58D_03_05130,18.43475902,-34.19557617,1041.178572,1041.178572,1041.178572,1041.178572,30,30,30,30,17,17,17,17,0,0,0,0,0,56,56,56,30.85,30.85,30.85,30.85,7,7,7,7,0,0,0,0,0,0,Southern,800.0000185,40000.00185
5131,7923,W58D_04_05131,18.43692876,-34.19558614,727.6423063,4356.635363,4356.635363,4356.635363,35,38,38,39,14,14,14,28,0,0,0,0,50,50,50,50,35.7,38.7,38.7,40.4,8,9,9,9,1,1,1,0,0,0,Southern,800.0000185,40000.00185
5132,222,W58D_04_05132,18.4390985,-34.19559608,2444.599683,2444.599683,2444.599683,2444.599683,62,70,68,67,0,0,0,0,0,0,0,0,0,78,78,78,62,70,68,67,15,17,17,16,2,2,1,0,-1,-1,Southern,799.9999883,39999.99883
5133,7922,W58D_04_05133,18.44126824,-34.19560598,2857.653207,2857.653207,2857.653207,2857.653207,89,90,90,91,0,0,0,0,0,0,0,0,15,64,64,72,89,90,90,91,22,22,22,22,0,0,0,0,0,0,Southern,800.0000185,40000.00185
