OBJECTID,id,grid_4ha_id,lon,lat,lp_ext_2012,lp_ext_2015,lp_ext_2018,lp_ext_2022,du_cnt_2012,du_cnt_2015,du_cnt_2018,du_cnt_2022,clq_ext_sqm_2012,clq_ext_sqm_2015,clq_ext_sqm_2018,clq_ext_sqm_2022,mlt_ext_sqm_2012,mlt_ext_sqm_2015,mlt_ext_sqm_2018,mlt_ext_sqm_2022,sq_ext_sqm_2012,sq_ext_sqm_2015,sq_ext_sqm_2018,sq_ext_sqm_2022,du_cnt_w_clq_mlt_2012,du_cnt_w_clq_mlt_2015,du_cnt_w_clq_mlt_2018,du_cnt_w_clq_mlt_2022,dens_grs_duha_2012,dens_grs_duha_2015,dens_grs_duha_2018,dens_grs_duha_2022,d_dens_grs_duha_12_15,d_dens_grs_duha_12_18,d_dens_grs_duha_12_22,d_dens_grs_duha_15_18,d_dens_grs_duha_15_22,d_dens_grs_duha_18_22,DISTRICTNA,Shape_Length,Shape_Area
22636,1941,W46C_12_22636,18.47049837,-34.03166259,1575.366768,1575.366768,1575.366768,1575.366768,54,53,53,56,45,32,32,32,0,0,0,0,42,97,97,95,56.25,54.6,54.6,57.6,13,13,13,14,0,0,1,0,1,1,Southern,800.0000185,40000.00185
22637,1942,W46C_12_22637,18.47266394,-34.0316719,602.0454707,602.0454707,602.0454707,602.0454707,62,63,63,63,51,51,51,88,0,0,0,0,47,47,48,48,64.55,65.55,65.55,67.4,15,15,15,15,0,0,0,0,0,0,Southern,800.0000185,40000.00185
22638,1943,W46C_12_22638,18.47482951,-34.03168117,2931.109274,2931.109274,2931.109274,2931.109274,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,21,21,21,21,0,0,0,0,0,0,Southern,800.0000185,40000.00185
22639,1977,W46C_12_22639,18.47699508,-34.0316904,751.7814515,751.7814515,751.7814515,751.7814515,27,27,27,27,0,0,12,33,0,0,0,0,0,0,24,24,27,27,27.6,28.65,6,6,6,6,0,0,0,0,0,0,Southern,799.9999883,39999.99883
22640,2034,W46C_12_22640,18.47916065,-34.03169959,995.9277523,995.9277523,995.9277523,995.9277523,69,70,70,70,23,23,45,45,0,0,0,0,17,17,17,17,70.15,71.15,72.25,72.25,17,17,17,17,0,0,0,0,0,0,Southern,800.0000185,40000.00185
22641,2032,W46C_13_22641,18.48132623,-34.03170874,2661.849411,2661.849411,2661.849411,2661.849411,68,71,74,74,0,13,13,13,424,424,1390,1391,67,96,118,118,82.62068966,86.27068966,122.5810345,122.6155172,17,17,18,18,0,1,1,1,1,0,Southern,800.0000185,40000.00185
22642,1997,W46C_13_22642,18.4834918,-34.03171786,1572.092093,1572.092093,1572.092093,1572.092093,52,51,51,51,0,0,23,23,0,0,0,0,0,0,0,0,52,51,52.15,52.15,13,12,12,12,-1,-1,-1,0,0,0,Southern,799.9999883,39999.99883
22643,2027,W46C_13_22643,18.48565738,-34.03172693,2091.264717,2091.264717,2091.264717,2091.264717,58,58,59,59,0,0,0,33,0,0,0,0,12,12,0,0,58,58,59,60.65,14,14,14,14,0,0,0,0,0,0,Southern,800.0000185,40000.00185
22644,2028,W46C_13_22644,18.48782296,-34.03173597,990.7902213,990.7902213,990.7902213,990.7902213,60,60,60,61,14,74,93,93,0,0,0,0,21,100,100,100,60.7,63.7,64.65,65.65,15,15,15,15,0,0,0,0,0,0,Southern,800.0000185,40000.00185
22645,2029,W46C_13_22645,18.48998853,-34.03174498,812.1098164,812.1098164,812.1098164,812.1098164,13,13,13,13,0,0,0,15,0,0,0,0,0,0,36,79,13,13,13,13.75,3,3,3,3,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22646,4624,W46C_14_22646,18.49215411,-34.03175394,547.6638783,547.6638783,547.6638783,547.6638783,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,1,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
